"Year","pop","stock","prod","tot.land","ag.land","un.land","pc.supply","yield","pgrowth","agrowth","bfcn"
1961,3.091843507,2.06163063432,3.006994,13.0417903,4.4692943145,0,0.666796566402027,0.672811810635122,0,0,0
1962,3.150420795,2.1227044959,3.06799,13.0417883,4.4790966015,0,0.673784435167811,0.684957319065761,1.89457480197105,0.219325162099935,0.939972092091109
1963,3.211001009,2.17528124841,3.1207,13.0417893,4.4890687782,0,0.677446454334017,0.695177586753598,1.92292452157967,0.222638125211664,0.948426099426938
1964,3.273978338,2.23767538591,3.315136,13.0417893,4.4978710196,0,0.683472874556936,0.737045590136735,1.96129894769522,0.196081678292532,0.893388914892786
1965,3.339583597,2.30888698044,3.391779,13.0417883,4.513247881,0,0.691369721217373,0.751516222780231,2.00383912863872,0.34186977200977,1.20492206409878
1966,3.40792263,2.38836934195,3.538239,13.0417873,4.5182626657,0,0.700828510872032,0.783097234886372,2.04633395197503,0.111112547598184,0.715852752458245
1967,3.478769962,2.43854564487,3.646107,13.0417863,4.5319320339,0,0.700979274716987,0.804536999391473,2.07890083467065,0.302535934968329,1.12440960174321
1968,3.551599127,2.49959133949,3.731232,13.0417853,4.5660053311,0,0.703793206977551,0.817176444054021,2.09353207586423,0.751849254250131,2.0838068266756
1969,3.625680627,2.56569935399,3.740754,13.0417853,4.5799383089,0,0.707646265058083,0.816769516901735,2.08586322247962,0.305145894269953,1.13613825366086
1970,3.700437046,2.66370964278,3.910128,13.0417843,4.5664696985,0,0.719836497599478,0.85626934112459,2.06185890845703,-0.294078424022142,-0.139930649649899
1971,3.775759617,2.69844976096,3.99879,13.0417833,4.5812578267,0,0.714677319183797,0.872858536075983,2.03550472724351,0.323841592660909,1.17719106176743
1972,3.851650245,2.71241992286,3.952318,13.0417723,4.59175935,0,0.704222800702404,0.860741536901319,2.00994331467261,0.229227947809345,0.977348381534716
1973,3.927780238,2.81337424092,4.232565,13.0417633,4.60880911,0,0.716275878599703,0.918364136804095,1.97655519472018,0.371312142044221,1.28245979498532
1974,4.003794172,2.86528403309,4.221783,13.0417153,4.61883999,0,0.715642190881834,0.914035344186063,1.93528989388434,0.217645811761564,0.956506430732586
1975,4.079480606,2.92468729377,4.300921,13.0416623,4.62489936,0,0.716926387508361,0.929949100557293,1.89036775489866,0.131188134101177,0.773182653495637
1976,4.154666864,2.96199060677,4.504583,13.0416393,4.6333528346,0,0.712930953005045,0.972208066340556,1.84303506405738,0.18278180652129,0.884582459402465
1977,4.22950606,3.04599923403,4.609251,13.0416253,4.63329216,0,0.72017847730191,0.994811214322388,1.80132844460954,-0.00130951822937293,0.491899299790348
1978,4.304533501,3.14936264414,4.846929,13.0416233,4.64608053,0,0.731638548848176,1.04322965749369,1.77390550895677,0.276010438331607,1.08598325850977
1979,4.3805061,3.20450094569,4.832001,13.0416193,4.65005463,0,0.73153669291546,1.03912779192446,1.76494384309823,0.0855366146656041,0.679808458150327
1980,4.458003514,3.24078292123,4.761891,13.0415993,4.665853968,0,0.726958359510616,1.0205829485146,1.76914293076776,0.339766717966511,1.2255325225632
1981,4.536996762,3.29082585104,4.985343,13.0416063,4.66800311,0,0.725331320181357,1.06798193628453,1.77194225513569,0.0460610643783332,0.59795784011474
