"node","degree","betweenness","eigen","closeness","local.cc","sw.measure.TJHBL","density","diameter","av.pl","av.deg","nodes","edges","avg.local.cc","avg.local.transitivity","n.components"
1,52,43,0.936756941783107,0.685,0.722,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
2,51,42,0.91883250649845,0.68,0.719,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
3,52,42,0.936574756946674,0.685,0.721,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
4,52,43,0.93554444370823,0.685,0.723,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
5,53,51,0.953818471632847,0.69,0.692,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
6,51,43,0.916440008689866,0.68,0.722,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
7,51,45,0.917139115560548,0.68,0.716,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
8,52,52,0.935245845920554,0.685,0.683,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
9,53,50,0.951370454752298,0.69,0.697,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
10,51,44,0.915392850877278,0.68,0.721,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
11,53,53,0.953658454930179,0.69,0.684,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
12,53,60,0.955647621362266,0.69,0.654,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
13,52,48,0.936821587290354,0.685,0.696,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
14,52,47,0.934124294896549,0.685,0.7,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
15,51,43,0.916220851222796,0.68,0.716,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
16,53,55,0.951535441989955,0.69,0.678,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
17,50,44,0.89888351515077,0.676,0.7,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
18,52,52,0.933886155123797,0.685,0.697,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
19,53,51,0.951792403053884,0.69,0.706,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
20,52,49,0.934505555817793,0.685,0.704,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
21,51,45,0.914982173381189,0.68,0.718,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
22,51,48,0.916188606384572,0.68,0.704,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
23,51,50,0.918212853164613,0.68,0.688,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
24,52,46,0.935692479547054,0.685,0.708,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
25,52,50,0.935533099532757,0.685,0.698,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
26,51,41,0.91756550839409,0.68,0.724,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
27,52,48,0.935585618763988,0.685,0.706,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
28,52,47,0.934671338343597,0.685,0.703,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
29,51,48,0.917507543191989,0.68,0.702,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
30,52,44,0.934637602702927,0.685,0.72,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
31,51,43,0.917187231490181,0.68,0.713,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
32,51,40,0.917365416329573,0.68,0.727,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
33,52,49,0.937180548148989,0.685,0.694,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
34,52,47,0.937301358079755,0.685,0.704,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
35,53,49,0.954825403632885,0.69,0.701,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
36,52,42,0.936916063449203,0.685,0.722,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
37,53,47,0.955308523295632,0.69,0.708,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
38,54,58,0.97422555175381,0.694,0.667,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
39,51,48,0.919860391251065,0.68,0.694,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
40,51,47,0.918492656461181,0.68,0.703,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
41,53,47,0.955801166433022,0.69,0.713,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
42,51,44,0.921161187599609,0.68,0.711,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
43,51,41,0.921358625234168,0.68,0.722,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
44,52,42,0.939830113177134,0.685,0.729,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
45,52,43,0.939726032541025,0.685,0.727,-0.442408163265306,0.525252525252525,2,1.47474747474747,52,100,2600,0.70678,0.706741776579568,1
