"node","degree","betweenness","eigen","closeness","local.cc","sw.measure.TJHBL","density","diameter","av.pl","av.deg","nodes","edges","avg.local.cc","avg.local.transitivity","n.components"
1,28,47,0.521321054067644,0.588,0.333,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
2,21,19,0.42853215584037,0.565,0.4,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
3,23,30,0.419869546323743,0.571,0.344,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
4,26,43,0.468798658559261,0.581,0.314,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
5,25,29,0.490033598559869,0.578,0.39,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
6,25,35,0.461678150474534,0.578,0.353,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
7,25,33,0.467058707886183,0.578,0.353,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
8,37,90,0.672538112758708,0.621,0.306,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
9,24,37,0.438328627391254,0.575,0.283,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
10,23,26,0.45695186170201,0.571,0.364,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
11,29,43,0.570352119218962,0.592,0.372,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
12,37,79,0.692472777882135,0.621,0.35,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
13,38,78,0.725743174203425,0.625,0.35,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
14,33,56,0.641654291054816,0.606,0.379,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
15,31,52,0.599121549098219,0.599,0.333,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
16,34,63,0.656104563738837,0.61,0.346,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
17,36,66,0.69581701670828,0.617,0.354,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
18,32,56,0.626239320951209,0.602,0.361,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
19,25,32,0.483151234600542,0.578,0.343,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
20,31,53,0.587527061867933,0.599,0.338,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
21,31,47,0.612313142186434,0.599,0.357,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
22,27,43,0.497415976896875,0.585,0.325,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
23,30,50,0.571319730787626,0.595,0.347,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
24,31,51,0.598883590923946,0.599,0.338,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
25,34,72,0.623071077855354,0.61,0.321,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
26,35,61,0.686660905875784,0.613,0.373,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
27,31,53,0.589512100270356,0.599,0.353,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
28,37,65,0.736126736752053,0.621,0.384,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
29,33,64,0.619750635476681,0.606,0.33,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
30,40,84,0.769303435179116,0.633,0.356,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
31,27,33,0.53893017935762,0.585,0.393,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
32,40,91,0.763449877194881,0.633,0.323,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
33,31,55,0.588847288712477,0.599,0.305,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
34,28,37,0.559933022862383,0.588,0.368,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
35,38,80,0.723749325599132,0.625,0.351,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
36,37,76,0.699271935271709,0.621,0.333,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
37,30,49,0.567759692481273,0.595,0.343,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
38,37,76,0.708514689972961,0.621,0.363,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
39,32,61,0.585953010435083,0.602,0.323,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
40,29,43,0.562810910347997,0.592,0.352,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
41,35,62,0.676306750869494,0.613,0.371,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
42,38,88,0.717449761436985,0.625,0.327,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
43,35,60,0.680188652634123,0.613,0.383,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
44,32,50,0.628866520414962,0.602,0.377,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
45,36,68,0.70060796836373,0.617,0.362,0.293939995022399,0.343434343434343,2,1.65656565656566,34,100,1700,0.34597,0.345968789784118,1
