"node","degree","betweenness","eigen","closeness","local.cc","sw.measure.TJHBL","density","diameter","av.pl","av.deg","nodes","edges","avg.local.cc","avg.local.transitivity","n.components"
1,52,47,0.979941732016334,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
2,52,47,0.980318704676461,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
3,53,51,0.999204665521307,0.69,0.724,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
4,52,47,0.980372378487094,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
5,52,46,0.980753915955174,0.685,0.735,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
6,52,49,0.981790699560594,0.685,0.719,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
7,52,46,0.981122576817437,0.685,0.735,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
8,52,46,0.981141832230823,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
9,52,46,0.981154163711913,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
10,52,46,0.981165132951634,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
11,53,52,1,0.69,0.717,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
12,52,46,0.981169940783271,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
13,53,52,0.99962697952199,0.69,0.719,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
14,52,47,0.980429192709359,0.685,0.732,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
15,51,42,0.961908239742637,0.68,0.743,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
16,52,47,0.980730819036415,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
17,52,46,0.981067816132564,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
18,52,46,0.981047615490344,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
19,52,46,0.980663784545293,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
20,52,46,0.980627290034384,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
21,52,46,0.980937973125732,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
22,52,46,0.980912887874333,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
23,50,41,0.94423454135681,0.676,0.735,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
24,51,50,0.96374673092971,0.68,0.707,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
25,52,45,0.981199912274451,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
26,52,45,0.980830587613751,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
27,51,43,0.961937708888167,0.68,0.74,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
28,53,51,0.998935484618073,0.69,0.723,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
29,52,46,0.980427633011062,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
30,52,46,0.980047710354415,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
31,53,55,0.999252575157944,0.69,0.708,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
32,53,51,0.998475188937107,0.69,0.722,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
33,52,46,0.979932397204838,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
34,52,49,0.980510674518692,0.685,0.723,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
35,52,45,0.98018249805822,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
36,52,45,0.980149673398254,0.685,0.735,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
37,52,44,0.980117027431235,0.685,0.735,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
38,52,45,0.979728671795553,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
39,52,45,0.979333283121335,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
40,51,45,0.960086587455196,0.68,0.729,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
41,52,46,0.978906544340612,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
42,53,51,0.997697010605432,0.69,0.724,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
43,53,53,0.997692284169623,0.69,0.71,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
44,52,46,0.978790081014801,0.685,0.732,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
45,51,44,0.959908818012273,0.68,0.736,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
46,51,46,0.959875406858953,0.68,0.723,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
47,53,51,0.996794479030735,0.69,0.723,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
48,52,51,0.97903803046507,0.685,0.71,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
49,53,54,0.997825681417196,0.69,0.705,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
50,52,45,0.978899903983601,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
51,52,45,0.979187799127327,0.685,0.735,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
52,51,45,0.960662291790375,0.68,0.728,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
53,52,45,0.979120007102629,0.685,0.735,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
54,52,45,0.979450554652783,0.685,0.735,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
55,52,46,0.979083696264363,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
56,52,45,0.9790667400605,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
57,52,50,0.979779757568884,0.685,0.717,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
58,52,46,0.978686822440169,0.685,0.734,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
59,52,46,0.978338202547085,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
60,52,46,0.978340419365855,0.685,0.733,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
61,53,51,0.997180667732453,0.69,0.724,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
62,52,51,0.97941428180676,0.685,0.718,-0.488918367346939,0.525252525252525,2,1.47474747474747,52,100,2600,0.72957,0.72953337549824,1
