"node","degree","betweenness","eigen","closeness","local.cc","sw.measure.TJHBL","density","diameter","av.pl","av.deg","nodes","edges","avg.local.cc","avg.local.transitivity","n.components"
1,51,43,0.927665171775076,0.68,0.729,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
2,53,52,0.964004012239399,0.69,0.697,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
3,51,44,0.929883816007601,0.68,0.714,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
4,52,48,0.945836004553821,0.685,0.707,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
5,52,42,0.946883653759877,0.685,0.726,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
6,52,47,0.946502002567595,0.685,0.705,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
7,52,43,0.946332112836822,0.685,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
8,52,42,0.947083987883382,0.685,0.726,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
9,52,43,0.947443978740988,0.685,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
10,52,42,0.948205918728346,0.685,0.726,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
11,52,42,0.947962220594443,0.685,0.728,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
12,52,47,0.948561631797365,0.685,0.705,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
13,52,42,0.948447273317211,0.685,0.728,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
14,53,49,0.966005398453919,0.69,0.705,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
15,51,41,0.93106794306562,0.68,0.729,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
16,52,46,0.949942247325942,0.685,0.707,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
17,52,44,0.949928453005001,0.685,0.722,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
18,53,48,0.96815654845438,0.69,0.707,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
19,51,56,0.934613208862033,0.68,0.657,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
20,53,49,0.967252091244803,0.69,0.71,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
21,52,49,0.950058822382457,0.685,0.7,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
22,51,46,0.93077517100047,0.68,0.702,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
23,51,44,0.93021458837158,0.68,0.711,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
24,51,40,0.929912526502405,0.68,0.732,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
25,53,53,0.965530400761917,0.69,0.684,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
26,50,42,0.911940761808163,0.676,0.715,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
27,52,50,0.947680699383994,0.685,0.695,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
28,52,48,0.947702166693314,0.685,0.706,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
29,52,46,0.948605530672314,0.685,0.712,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
30,52,47,0.947014374952913,0.685,0.713,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
31,51,50,0.931590992412167,0.68,0.689,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
32,52,44,0.948646464558316,0.685,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
33,51,40,0.930794892231178,0.68,0.736,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
34,53,53,0.966770366679804,0.69,0.692,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
35,53,48,0.966069651990601,0.69,0.716,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
36,53,49,0.966004155168326,0.69,0.71,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
37,52,46,0.948814888057549,0.685,0.713,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
38,52,47,0.94875649139556,0.685,0.706,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
39,53,46,0.965802104187266,0.69,0.717,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
40,52,46,0.947877125095357,0.685,0.707,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
41,53,46,0.965644252803886,0.69,0.715,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
42,55,61,1,0.699,0.669,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
43,52,48,0.947637906484256,0.685,0.697,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
44,52,42,0.946492709930171,0.685,0.726,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
45,52,45,0.946680822626197,0.685,0.705,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
46,52,52,0.947917302945172,0.685,0.683,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
47,51,42,0.929963245697633,0.68,0.715,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
48,50,41,0.909516717157702,0.676,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
49,53,52,0.964122970719013,0.69,0.692,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
50,50,43,0.910066527627086,0.676,0.72,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
51,52,49,0.948154308636707,0.685,0.695,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
52,53,51,0.962229522925774,0.69,0.711,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
53,51,40,0.927482748409353,0.68,0.735,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
54,53,49,0.962784876908312,0.69,0.715,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
55,53,55,0.962861215226032,0.69,0.689,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
56,52,44,0.94490457744423,0.685,0.724,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
57,54,54,0.980046794470275,0.694,0.697,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
58,53,52,0.963280300528868,0.69,0.697,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
59,52,44,0.945692387719945,0.685,0.718,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
60,51,46,0.927080206264904,0.68,0.707,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
61,52,42,0.945162221452313,0.685,0.726,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
62,52,50,0.945361353927423,0.685,0.695,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
63,51,46,0.927264270508048,0.68,0.701,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
64,52,50,0.945772044020751,0.685,0.695,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
65,52,51,0.943608537002309,0.685,0.695,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
66,53,49,0.961754029471001,0.69,0.708,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
67,53,50,0.961701303899286,0.69,0.698,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
68,49,37,0.890490290296834,0.671,0.729,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
69,52,48,0.94353664234289,0.685,0.7,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
70,51,42,0.925866406952674,0.68,0.72,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
71,52,43,0.943339641098176,0.685,0.724,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
72,52,43,0.943677831921785,0.685,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
73,52,49,0.944381984618661,0.685,0.708,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
74,52,44,0.943716829224561,0.685,0.716,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
75,51,39,0.92673295483662,0.68,0.735,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
76,52,43,0.94461344698149,0.685,0.726,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
77,52,42,0.944987212441989,0.685,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
78,48,39,0.874216215601129,0.667,0.716,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
79,53,50,0.962548149255171,0.69,0.705,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
80,52,47,0.946136266834755,0.685,0.706,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
81,51,42,0.926905461549424,0.68,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
82,52,52,0.946982702035372,0.685,0.686,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
83,51,45,0.925605600315308,0.68,0.718,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
84,53,54,0.961735921988565,0.69,0.688,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
85,52,50,0.945223325012981,0.685,0.707,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
86,52,45,0.943617458993511,0.685,0.723,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
87,53,58,0.962295237795688,0.69,0.676,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
88,51,47,0.926934197042412,0.68,0.705,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
89,53,50,0.961805744477219,0.69,0.71,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
90,50,48,0.91202801432189,0.676,0.69,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
91,51,41,0.926854454556992,0.68,0.732,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
92,53,49,0.962910088005458,0.69,0.715,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
93,55,70,0.998071065662633,0.699,0.643,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
94,52,45,0.944705887654684,0.685,0.724,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
95,52,44,0.945829384441867,0.685,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
96,54,56,0.981655345444914,0.694,0.683,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
97,52,44,0.945670704953422,0.685,0.725,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
98,53,52,0.964611920567073,0.69,0.692,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
99,53,50,0.963702609996492,0.69,0.705,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
100,52,51,0.945755362919511,0.685,0.699,-0.447306122448979,0.525252525252525,2,1.47474747474747,52,100,2600,0.70918,0.709157321997783,1
