"node","degree","betweenness","eigen","closeness","local.cc","sw.measure.TJHBL","density","diameter","av.pl","av.deg","nodes","edges","avg.local.cc","avg.local.transitivity","n.components"
1,52,46,0.956367628631281,0.685,0.729,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
2,51,44,0.938517766343769,0.68,0.73,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
3,51,44,0.938682228576886,0.68,0.725,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
4,52,45,0.956599040628428,0.685,0.73,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
5,51,42,0.938107378844306,0.68,0.736,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
6,52,45,0.955668656608433,0.685,0.73,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
7,52,45,0.955903370725574,0.685,0.73,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
8,52,45,0.95584090846812,0.685,0.73,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
9,52,46,0.955390044892056,0.685,0.729,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
10,52,51,0.95606784038045,0.685,0.704,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
11,52,49,0.95539717617897,0.685,0.719,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
12,52,49,0.955600413785135,0.685,0.714,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
13,52,46,0.954046639093046,0.685,0.727,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
14,52,46,0.953309374358978,0.685,0.725,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
15,52,46,0.95324471884274,0.685,0.725,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
16,53,57,0.97253194528346,0.69,0.692,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
17,51,46,0.936528357891317,0.68,0.719,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
18,52,46,0.953833281925311,0.685,0.727,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
19,53,51,0.971594143286772,0.69,0.715,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
20,53,52,0.971227669483947,0.69,0.71,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
21,52,47,0.9527351495728,0.685,0.727,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
22,52,47,0.952411088548609,0.685,0.726,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
23,51,47,0.934810752097098,0.68,0.715,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
24,52,50,0.953948364300401,0.685,0.708,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
25,53,50,0.972344238588204,0.69,0.717,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
26,51,45,0.937279699970045,0.68,0.724,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
27,52,46,0.954342251219973,0.685,0.726,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
28,53,51,0.972241609790531,0.69,0.715,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
29,52,51,0.955606700132933,0.685,0.704,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
30,52,46,0.956678032705299,0.685,0.719,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
31,50,40,0.919177581918306,0.676,0.739,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
32,52,44,0.955792505644967,0.685,0.73,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
33,53,51,0.973754694444093,0.69,0.711,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
34,52,49,0.957499456565598,0.685,0.71,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
35,51,43,0.937671781880882,0.68,0.73,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
36,52,44,0.956575386723169,0.685,0.73,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
37,51,43,0.938655379074966,0.68,0.725,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
38,50,41,0.92074715590074,0.676,0.729,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
39,52,45,0.956272759840682,0.685,0.729,-0.471142857142857,0.525252525252525,2,1.47474747474747,52,100,2600,0.72086,0.720857224502444,1
