"node","degree","betweenness","eigen","closeness","local.cc","sw.measure.TJHBL","density","diameter","av.pl","av.deg","nodes","edges","avg.local.cc","avg.local.transitivity","n.components"
1,34,91,0.964038442641964,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
2,34,91,0.963759130877828,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
3,34,91,0.963485447058411,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
4,34,91,0.963218099739494,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
5,34,92,0.962957156505315,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
6,34,85,0.962758614615316,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
7,34,184,0.964062199347012,0.595,0.695,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
8,34,92,0.962271960660618,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
9,34,93,0.962062886504797,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
10,34,91,0.962650232182751,0.518,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
11,34,91,0.962458781032177,0.518,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
12,34,91,0.962275933418452,0.518,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
13,34,92,0.962079516368647,0.518,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
14,34,92,0.96110730246983,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
15,34,93,0.960932563153593,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
16,34,93,0.960770348382571,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
17,34,91,0.960666258417156,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
18,34,90,0.96057541702618,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
19,34,89,0.960498041844421,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
20,34,89,0.960434314963403,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
21,34,88,0.960384383026795,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
22,34,87,0.960348998026342,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
23,34,205,0.962263982711697,0.61,0.683,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
24,34,83,0.960319014107263,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
25,34,92,0.960280173520277,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
26,34,91,0.960300355459271,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
27,34,90,0.960336018365558,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
28,34,90,0.960363111611197,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
29,34,90,0.960404038134061,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
30,34,90,0.95966599017208,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
31,33,88,0.932245682083994,0.51,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
32,34,90,0.959869731042426,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
33,34,90,0.960017637696344,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
34,34,81,0.960967676159361,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
35,34,83,0.961143036620709,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
36,34,84,0.961330163640332,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
37,34,84,0.961528568444536,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
38,34,84,0.961737734001684,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
39,34,82,0.961979557205312,0.513,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
40,34,79,0.962230956571106,0.513,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
41,34,87,0.962435320169242,0.513,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
42,34,89,0.962702704690548,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
43,34,89,0.962978367034684,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
44,34,91,0.963311156273455,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
45,34,92,0.963598547476912,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
46,34,92,0.963891287424568,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
47,33,80,0.936442846475141,0.513,0.737,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
48,34,91,0.964580395133969,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
49,34,90,0.965737742925843,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
50,34,90,0.966109578262371,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
51,35,201,0.994023507362576,0.595,0.684,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
52,34,90,0.966804209170731,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
53,34,90,0.967125219771247,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
54,34,90,0.967442588569006,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
55,34,91,0.967755508573703,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
56,34,84,0.968848656578152,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
57,34,87,0.969148455525866,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
58,34,90,0.969417098593923,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
59,34,91,0.969677982551045,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
60,34,92,0.969928881558138,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
61,34,108,0.971948613813477,0.526,0.72,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
62,34,92,0.97039525885955,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
63,34,93,0.970609568358109,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
64,34,89,0.971604844173724,0.518,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
65,34,87,0.972585268852224,0.518,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
66,34,87,0.972755063142212,0.518,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
67,34,87,0.972884677322276,0.518,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
68,34,86,0.972996219601246,0.518,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
69,34,92,0.972302501476714,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
70,34,92,0.972379020161101,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
71,34,92,0.972438677135318,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
72,34,92,0.972481365693595,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
73,35,214,1,0.61,0.687,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
74,34,89,0.972473092423582,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
75,34,88,0.9716339765526,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
76,34,87,0.971566756462874,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
77,34,85,0.971484648680773,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
78,34,83,0.971387856247401,0.515,0.729,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
79,34,88,0.97122576250765,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
80,34,88,0.971099788851749,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
81,35,115,0.998727840063212,0.526,0.711,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
82,34,87,0.97075958097717,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
83,34,87,0.970523519269127,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
84,34,88,0.970274486545718,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
85,34,89,0.970013770860827,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
86,34,91,0.969742049315992,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
87,34,90,0.969482509130079,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
88,34,89,0.969213327700679,0.515,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
89,34,86,0.968936769563031,0.513,0.727,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
90,34,78,0.968696235066425,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
91,34,87,0.967618349848718,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
92,33,78,0.939777798919163,0.51,0.739,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
93,34,88,0.967064267190432,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
94,34,88,0.966804053507137,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
95,34,89,0.966540961699847,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
96,34,90,0.966275023630114,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
97,34,90,0.965985940531927,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
98,34,90,0.965695464205114,0.518,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
99,34,90,0.964611023563612,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
100,34,90,0.964322658639924,0.515,0.725,-0.627116961319411,0.343434343434343,3,1.94585858585859,34,100,1700,0.72444,0.724791889483065,1
