"node","degree","betweenness","eigen","closeness","local.cc","sw.measure.TJHBL","density","diameter","av.pl","av.deg","nodes","edges","avg.local.cc","avg.local.transitivity","n.components"
1,26,38,0.545462966045089,0.581,0.332,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
2,25,38,0.5099721807916,0.578,0.323,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
3,29,46,0.622325248441391,0.592,0.34,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
4,29,45,0.605943372983169,0.592,0.377,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
5,29,50,0.598469675173291,0.592,0.305,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
6,26,37,0.542676407455029,0.581,0.335,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
7,31,50,0.67241250196398,0.599,0.335,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
8,36,74,0.761556051825097,0.617,0.322,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
9,31,55,0.64000345453485,0.599,0.344,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
10,32,52,0.688099573855233,0.602,0.363,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
11,25,36,0.518233116058988,0.578,0.31,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
12,24,27,0.524887326270581,0.575,0.384,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
13,33,57,0.721490025157775,0.606,0.35,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
14,30,46,0.649499555274246,0.595,0.356,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
15,32,57,0.681296650031149,0.602,0.331,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
16,29,57,0.592235843590696,0.592,0.291,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
17,30,46,0.651196433757666,0.595,0.352,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
18,33,59,0.708560448066045,0.606,0.347,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
19,36,69,0.777164317048304,0.617,0.36,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
20,29,41,0.623128936444064,0.592,0.374,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
21,29,46,0.607555318983281,0.592,0.335,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
22,32,60,0.666742017037247,0.602,0.329,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
23,31,52,0.671648090340617,0.599,0.355,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
24,29,47,0.606061029089873,0.592,0.335,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
25,36,72,0.767250538300203,0.617,0.344,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
26,37,72,0.803138822430613,0.621,0.363,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
27,40,100,0.820761206330565,0.633,0.318,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
28,30,43,0.660159848704291,0.595,0.382,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
29,37,75,0.776125410766187,0.621,0.353,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
30,27,39,0.565361784295711,0.585,0.365,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
31,33,57,0.718783566153491,0.606,0.371,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
32,33,61,0.698513738838997,0.606,0.343,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
33,35,69,0.740876593886174,0.613,0.333,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
34,34,61,0.728820744441665,0.61,0.348,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
35,21,27,0.428693949678237,0.565,0.295,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
36,27,45,0.557872845283194,0.585,0.296,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
37,29,46,0.623314307945167,0.592,0.347,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
38,32,58,0.670527899751457,0.602,0.343,0.298288153310104,0.343434343434343,2,1.65656565656566,34,100,1700,0.34384,0.343833686477537,1
