"node","degree","betweenness","eigen","closeness","local.cc","sw.measure.TJHBL","density","diameter","av.pl","av.deg","nodes","edges","avg.local.cc","avg.local.transitivity","n.components"
1,46,37,0.689916095970125,0.658,0.529,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
2,49,42,0.731206757666148,0.671,0.523,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
3,43,33,0.644841677105609,0.645,0.514,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
4,40,30,0.59616897568552,0.633,0.5,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
5,44,31,0.673760130123319,0.649,0.549,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
6,57,57,0.854495260580004,0.709,0.523,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
7,58,60,0.868693762472125,0.714,0.521,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
8,55,55,0.816634886668831,0.699,0.515,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
9,43,33,0.643491887027692,0.645,0.507,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
10,44,32,0.669776243792709,0.649,0.54,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
11,54,52,0.810525922284261,0.694,0.523,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
12,44,32,0.662344889860741,0.649,0.538,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
13,48,36,0.733509807177977,0.667,0.547,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
14,45,34,0.679464194437336,0.654,0.537,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
15,40,29,0.597885523201261,0.633,0.512,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
16,41,31,0.60485381290432,0.637,0.499,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
17,48,38,0.727378155060467,0.667,0.542,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
18,59,64,0.88188312841972,0.719,0.507,-0.0790204081632655,0.525252525252525,2,1.47474747474747,52,100,2600,0.52872,0.528722977157954,1
